Symbol,Name,Sector,Industry
025770,한국정보통신,전기 통신업,신용카드조회기
037230,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업",카톤팩
070590,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷
264290,한화에이스스팩3호,금융 지원 서비스업,기업인수합병
220180,핸디소프트,소프트웨어 개발 및 공급업,"EKP, BPM, 네트워크장비"
170030,현대공업,자동차 신품 부품 제조업,"시트패드, 암레스트, 헤드레스트"
053660,현진소재,기타 금속 가공제품 제조업,선박용 엔진부품
011080,형지I&C,봉제의복 제조업,남성셔츠
028080,휴맥스홀딩스,기타 금융업,위성방송수신기
084110,휴온스글로벌,기타 금융업,"비만치료제,국소마취제등"
211270,AP위성,통신 및 방송 장비 제조업,위성통신 단말기
299170,IBKS제10호스팩,금융 지원 서비스업,기업인수합병
950170,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)"
021320,KCC건설,건물 건설업,"토목 건축공사, 분양공사"
